site_gaw_id,year,month,value,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,flask_no,ORG_QCflag,QCflag,instrument,measurement_method,scale
WLG,2006,9,379.7,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2006,10,381.2,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2006,11,381.86,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2006,12,383.59,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,1,384.98,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,2,385.75,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,3,387.48,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,4,389.12,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,5,387.54,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,6,385.46,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,7,381.68,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,8,377.76,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,9,380.54,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,10,383.32,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,11,383.65,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2007,12,385.8,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,1,387.66,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,2,388.24,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,3,389.78,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,4,391.06,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,5,389.42,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,6,384.84,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,7,381.34,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,8,381.51,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,9,383.71,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,10,385.48,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,11,386.29,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2008,12,386.77,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,1,387.65,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,2,388.83,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,3,391.04,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,4,393.24,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,5,391.15,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2009,6,385.79,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
